date,ingested,validated,rules_applied,auto_decided,approved,manual_review,denied,error_void,validated_rate,rules_applied_rate,auto_decided_rate,approved_rate
1/1/2025,38366,38230,37763,36795,34834,968,1961,96,0.9965,0.9878,0.9744,0.9467
1/2/2025,38600,38205,37679,36793,34335,886,2458,298,0.9898,0.9862,0.9765,0.9332
1/3/2025,41256,40824,40342,39130,36476,1212,2654,408,0.9895,0.9882,0.97,0.9322
1/4/2025,40311,40013,39423,38352,36154,1071,2198,282,0.9926,0.9853,0.9728,0.9427
1/5/2025,34914,34723,34276,33400,31627,876,1773,175,0.9945,0.9871,0.9744,0.9469
1/6/2025,34510,34235,33777,32891,30895,886,1996,242,0.992,0.9866,0.9738,0.9393
1/7/2025,36730,36583,36185,35124,32620,1061,2504,102,0.996,0.9891,0.9707,0.9287
1/8/2025,38060,37853,37445,36344,33732,1101,2612,147,0.9946,0.9892,0.9706,0.9281
1/9/2025,40288,40067,39246,38073,35316,1173,2757,175,0.9945,0.9795,0.9701,0.9276
1/10/2025,39796,39544,38635,37106,34318,1529,2788,201,0.9937,0.977,0.9604,0.9249
1/11/2025,40687,40606,40200,39042,36695,1158,2347,63,0.998,0.99,0.9712,0.9399
1/12/2025,38615,38282,37928,36368,34477,1560,1891,274,0.9914,0.9908,0.9589,0.948
1/13/2025,36563,36051,35399,34062,31981,1337,2081,380,0.986,0.9819,0.9622,0.9389
1/14/2025,38345,38223,37404,36462,33578,942,2884,105,0.9968,0.9786,0.9748,0.9209
1/15/2025,39436,39066,38535,37458,35116,1077,2342,265,0.9906,0.9864,0.9721,0.9375
1/16/2025,39731,39426,39021,38082,35709,939,2373,218,0.9923,0.9897,0.9759,0.9377
1/17/2025,41721,41551,41268,39839,38046,1429,1793,110,0.9959,0.9932,0.9654,0.955
1/18/2025,38925,38426,37967,36452,33804,1515,2648,332,0.9872,0.9881,0.9601,0.9274
1/19/2025,39155,38695,38096,36784,34425,1312,2359,413,0.9883,0.9845,0.9656,0.9359
1/20/2025,36828,36356,35717,34560,32923,1157,1637,357,0.9872,0.9824,0.9676,0.9526
1/21/2025,37178,36792,36279,35099,33084,1180,2015,262,0.9896,0.9861,0.9675,0.9426
1/22/2025,38483,38226,37645,36659,34588,986,2071,223,0.9933,0.9848,0.9738,0.9435
1/23/2025,42674,42400,41634,40170,37756,1464,2414,218,0.9936,0.9819,0.9648,0.9399
1/24/2025,41540,41242,41003,39737,37418,1266,2319,181,0.9928,0.9942,0.9691,0.9416
1/25/2025,39993,39504,39233,37706,35640,1527,2066,348,0.9878,0.9931,0.9611,0.9452
1/26/2025,38086,37517,37162,36036,33604,1126,2432,377,0.9851,0.9905,0.9697,0.9325
1/27/2025,37919,37622,36957,35738,33809,1219,1929,246,0.9922,0.9823,0.967,0.946
1/28/2025,38233,37873,37472,36067,33471,1405,2596,251,0.9906,0.9894,0.9625,0.928
1/29/2025,40208,39942,39485,38126,35900,1359,2226,166,0.9934,0.9886,0.9656,0.9416
1/30/2025,42152,41904,41392,39980,37598,1412,2382,154,0.9941,0.9878,0.9659,0.9404
1/31/2025,44726,44387,43987,42464,39664,1523,2800,272,0.9924,0.991,0.9654,0.9341
2/1/2025,40434,40203,39742,38853,36476,889,2377,140,0.9943,0.9885,0.9776,0.9388
